ID,URL,Status,Added On
1,https://kremlin.ru/,Подозрительный,2024-11-28 08:27:45
2,https://ru.wikipedia.org,Безопасен,2024-11-28 08:28:33
3,https://www.gismeteo.ru/,Подозрительный,2024-11-28 17:55:05
4,https://chatgpt.com,Безопасен,2024-12-07 14:35:47
5,https://kremlin.ru/,Подозрительный,2024-12-07 15:12:06
6,from pprint import pprint,Подозрительный,2024-12-07 15:12:44
7,https://kremlin.ru/,Подозрительный,2024-12-07 15:13:09
8,https://kremlin.ru/,Подозрительный,2024-12-07 15:15:14
9,https://kremlin.ru/,Подозрительный,2024-12-07 15:47:28
10,https://kremlin.ru/,Подозрительный,2024-12-07 15:48:26
11,https://kremlin.ru/,Подозрительный,2024-12-07 15:59:35
12,https://ru.wikipedia.org/wiki/,Безопасен,2024-12-13 11:45:16
13,https://kpfu.ru/,Подозрительный,2024-12-13 13:19:38
14,https://softnet.su/download/microsoft-windows/windows-8/windows-8-1-pro,Подозрительный,2024-12-13 13:36:55
15,https://keysoft.store/download/windows-8-1?srsltid=AfmBOoqRdBu4RR2Za5TcZjB2BTYUFVa-PGwVP9C-jns83MTVtUwvHjR0,Безопасен,2024-12-13 13:38:29
